Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154243649","48054252","1","","2018-01-02 00:00:00",""
"154243650","48052253","2","","2018-01-02 00:00:00",""
"154243651","14472089","2","","2018-01-02 00:00:00",""
"154243652","10418669","2","","2018-01-02 00:00:00",""
"154243653","12415626","2","","2018-01-02 00:00:00",""
"154243654","16607408","2","","2018-01-02 00:00:00",""
"154243655","30300521","2","","2018-01-02 00:00:00",""
"154243656","39327148","2","","2018-01-02 00:00:00",""
"154243657","39327197","2","","2018-01-02 00:00:00",""
"154243658","6890120","2","","2018-01-02 00:00:00",""
"154243660","36314643","2","","2018-01-02 00:00:00",""
"154243662","19175084","5","3207158","2018-01-02 00:00:00",""
"154243663","16589915","2","","2018-01-02 00:00:00",""
"154243664","15640498","2","","2018-01-02 00:00:00",""
"154243666","13789618","2","","2018-01-02 00:00:00",""
"154243667","46889856","2","","2018-01-02 00:00:00",""
"154243668","13898916","2","","2018-01-02 00:00:00",""
"154243669","23137100","2","","2018-01-02 00:00:00",""
"154243670","30089406","2","","2018-01-02 00:00:00",""
"154243671","24328303","2","","2018-01-02 00:00:00",""
"154243672","48052580","1","","2018-01-02 00:00:00",""
"154243673","3559096","2","","2018-01-02 00:00:00",""
"154243674","3559076","2","","2018-01-02 00:00:00",""
"154243675","3559076","5","512994","2018-01-02 00:00:00",""
"154243676","22939130","5","1762653","2018-01-02 00:00:00",""
"154243677","13789618","5","7141930","2018-01-02 00:00:00",""
"154243678","48054256","2","","2018-01-02 00:00:00",""
"154243679","48053119","2","","2018-01-02 00:00:00",""
"154243680","48049511","3","","2018-01-02 00:00:00",""
"154243681","48053693","2","","2018-01-02 00:00:00",""
"154243682","575859","2","","2018-01-02 00:00:00",""
"154243683","48053693","1","","2018-01-02 00:00:00",""
"154243684","10492839","2","","2018-01-02 00:00:00",""
"154243685","48054183","3","","2018-01-02 00:00:00",""
"154243687","48053450","2","","2018-01-02 00:00:00",""
"154243688","48053450","1","","2018-01-02 00:00:00",""
"154243689","23318109","2","","2018-01-02 00:00:00",""
"154243690","41970093","2","","2018-01-02 00:00:00",""
"154243691","22675563","2","","2018-01-02 00:00:00",""
"154243692","33743493","2","","2018-01-02 00:00:00",""
"154243693","38774993","2","","2018-01-02 00:00:00",""
"154243694","47965694","2","","2018-01-02 00:00:00",""
"154243696","12213597","2","","2018-01-02 00:00:00",""
"154243697","31765712","2","","2018-01-02 00:00:00",""
"154243698","31765712","5","6368005","2018-01-02 00:00:00",""
"154243699","11241990","2","","2018-01-02 00:00:00",""
"154243700","48052498","2","","2018-01-02 00:00:00",""
"154243701","12216578","2","","2018-01-02 00:00:00",""
